price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
5000,,no,Intel Pentium 4,,,,1 ГБ,,,,,,ASUS P4P800,,,https://www.avito.ru/moskva/nastolnye_kompyutery/asus_s-presso_s1-p112_3369246190?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
89990,,yes,AMD Ryzen 5 7500F,,,,16 ГБ,,,INNO3D GeForce RTX 5060 TWIN X2 8GB,,,MaxSun MS-Challenger B850M-K,,,https://www.avito.ru/omsk/nastolnye_kompyutery/igrovoy_pk_ryzen_5_7500f_5060_8_gb_ram_16_gb_7715310962?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
3500,,no,Intel Core i3-2100,,,,8 ГБ,,,,,,ASRock H61 Pro BTC,,,https://www.avito.ru/rostov-na-donu/nastolnye_kompyutery/bystrye_ofisnye_pk_intel_na_i3_s_ssd-mnogo_7449719487?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
44990,,yes,Intel Core i7-10700,,,,32 ГБ,,,Palit GeForce RTX 3060 Ti Dual 8GB,,,Amentmen X99H,,,https://www.avito.ru/ivanovo/nastolnye_kompyutery/igrovoy_pk_core_i7-10700_geforce_rtx_3060_ti_8_gb_ram_32_gb_7768398870?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
154000,,yes,AMD Ryzen 7 7800X3D,,,,32 ГБ,,,GIGABYTE GeForce RTX 5070 EAGLE OC 12GB,,,ASUS PRIME B650M-K,,,https://www.avito.ru/moskva_zelenograd/nastolnye_kompyutery/rtx_5070_ryzen_7_7800x3d_igrovoy_pk_7778673506?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
82000,,no,Intel Core i5-12400F,,,,32 ГБ,,,NVIDIA GeForce RTX 3080 GAMING OC 12GB,,,MSI PRO B760M-A,,,https://www.avito.ru/yalta/nastolnye_kompyutery/igrovoy_kompyuter_rtx_3080_7904999642?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
40000,,no,AMD Ryzen 5 7600,,,,32 ГБ,,,,,,AOOSTAR TA95X3D,,,https://www.avito.ru/novosibirskaya_oblast_koltsovo/nastolnye_kompyutery/mini_pk_genmachine_ryzen_7640hs_es_7867555491?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
10000,,no,Intel Core i7-3770,,,,16 ГБ,,,Sinotex Ninja GeForce GT 730 4GB,,,Esonic H61FHL,,,https://www.avito.ru/ekaterinburg/nastolnye_kompyutery/pk_bez_diskov_7883071594?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
23000,,no,Intel Core i5-7400,,,,8 ГБ,,,NVIDIA GeForce GTX 1060 6GB,,,ASUS EX-B150M-V3,,,https://www.avito.ru/tomsk/nastolnye_kompyutery/igrovoy_pk_core_i58_gbgtx_1060_6_gbssd_hdd_7813977325?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
10499,,no,Intel Core i5-2400,,,,8 ГБ,,,NVIDIA GeForce GTX 1050Ti 4GB,,,ASUS P8H61-M LE/USB3,,,https://www.avito.ru/tobolsk/nastolnye_kompyutery/igrovoy_pk_7926237992?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
